pmid	publication_types	grant_id	grant_acronym	grant_country	grant_agency	us_gov_funding	other_funding	covid
10068995	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D013487:Research Support, U.S. Gov't, P.H.S.; D016454:Review					True	True	False
10071751	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
10148363	D016456:Historical Article; D016428:Journal Article; D016454:Review					False	False	False
10170447	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
10192029	D016421:Editorial; D016454:Review					False	False	False
10202746	D003160:Comparative Study; D016428:Journal Article; D013486:Research Support, U.S. Gov't, Non-P.H.S.; D016454:Review					True	False	False
10211119	D016428:Journal Article; D016454:Review					False	False	False
10215927	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't			United Kingdom	Wellcome Trust	False	True	False
10218369	D016428:Journal Article; D016454:Review					False	False	False
10219748	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
10322493	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D013487:Research Support, U.S. Gov't, P.H.S.; D016454:Review					True	True	False
10332384	D016428:Journal Article; D016454:Review					False	False	False
10376745	D016428:Journal Article; D013486:Research Support, U.S. Gov't, Non-P.H.S.; D013487:Research Support, U.S. Gov't, P.H.S.	NS07309	NS	United States	NINDS NIH HHS	True	False	False
10407422	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review	E.0733	TI_	Italy	Telethon	False	True	False
10449358	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D013487:Research Support, U.S. Gov't, P.H.S.; D016454:Review	R01 CA047207	CA	United States	NCI NIH HHS	True	True	False
10469100	D016428:Journal Article					False	False	False
10470603	D016428:Journal Article; D016454:Review					False	False	False
10515301	D016428:Journal Article; D013487:Research Support, U.S. Gov't, P.H.S.; D016454:Review	AA09346	AA	United States	NIAAA NIH HHS	True	False	False
10520381	D016456:Historical Article; D016428:Journal Article					False	False	False
10530691	D016428:Journal Article; D013487:Research Support, U.S. Gov't, P.H.S.; D016454:Review	P50 NS16308	NS	United States	NINDS NIH HHS	True	False	False
10549422	D016428:Journal Article; D016454:Review					False	False	False
10588997	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't					False	True	False
10593029	D016428:Journal Article; D016454:Review					False	False	False
10600186	D016428:Journal Article; D016454:Review					False	False	False
10617280	D016428:Journal Article; D016454:Review					False	False	False
10630637	D016428:Journal Article; D016454:Review					False	False	False
10635801	D016428:Journal Article; D016454:Review					False	False	False
10635802	D016428:Journal Article; D016454:Review					False	False	False
10638849	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D013486:Research Support, U.S. Gov't, Non-P.H.S.; D013487:Research Support, U.S. Gov't, P.H.S.; D016454:Review					True	True	False
10667782	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D013486:Research Support, U.S. Gov't, Non-P.H.S.; D013487:Research Support, U.S. Gov't, P.H.S.; D016454:Review					True	True	False
10668220	D016428:Journal Article; D016454:Review					False	False	False
10718104	D016428:Journal Article; D016454:Review					False	False	False
10719784	D003160:Comparative Study; D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't					False	True	False
10728988	D016428:Journal Article; D016454:Review					False	False	False
10762457	D016428:Journal Article; D016454:Review					False	False	False
10774100	D002363:Case Reports; D004740:English Abstract; D016428:Journal Article; D016454:Review					False	False	False
10780050	D016428:Journal Article; D016454:Review					False	False	False
10796363	D016428:Journal Article; D016454:Review; D000078182:Systematic Review					False	False	False
10796445	D016428:Journal Article; D016454:Review; D000078182:Systematic Review					False	False	False
10796560	D016428:Journal Article; D016454:Review; D000078182:Systematic Review					False	False	False
10803745	D016421:Editorial; D016454:Review					False	False	False
10832966	D016428:Journal Article					False	False	False
10839732	D016428:Journal Article; D016454:Review					False	False	False
10852154	D016420:Comment; D016421:Editorial					False	False	False
10865927	D016428:Journal Article; D016454:Review					False	False	False
10869059	D016430:Clinical Trial; D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D013487:Research Support, U.S. Gov't, P.H.S.	NS-26064	NS	United States	NINDS NIH HHS	True	True	False
10891897	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
10894454	D016428:Journal Article; D016454:Review					False	False	False
10900582	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
1092250	D016428:Journal Article; D013487:Research Support, U.S. Gov't, P.H.S.; D016454:Review					True	False	False
10949766	D016428:Journal Article; D016454:Review					False	False	False
1095324	D016430:Clinical Trial; D003160:Comparative Study; D016428:Journal Article; D016454:Review					False	False	False
10954990	D002363:Case Reports; D016428:Journal Article; D016454:Review					False	False	False
11008109	D016456:Historical Article; D016428:Journal Article; D016454:Review					False	False	False
11044375	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
11057130	D016428:Journal Article; D016454:Review					False	False	False
11057131	D016428:Journal Article; D016454:Review					False	False	False
11099937	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
11111902	D016428:Journal Article; D016454:Review					False	False	False
11163462	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D013487:Research Support, U.S. Gov't, P.H.S.; D016454:Review	1RO1 AI-44167	AI	United States	NIAID NIH HHS	True	True	False
11207694	D016428:Journal Article; D016454:Review					False	False	False
11212082	D016430:Clinical Trial; D003160:Comparative Study; D016428:Journal Article; D017418:Meta-Analysis; D016449:Randomized Controlled Trial; D013485:Research Support, Non-U.S. Gov't; D000078182:Systematic Review					False	True	False
11269037	D016428:Journal Article; D016454:Review					False	False	False
11270137	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't					False	True	False
11274631	D016421:Editorial; D016454:Review; D016420:Comment					False	False	False
11276000	D016428:Journal Article; D016454:Review					False	False	False
11276225	D016428:Journal Article; D013487:Research Support, U.S. Gov't, P.H.S.; D016454:Review					True	False	False
11279720	D016428:Journal Article; D016454:Review; D000078182:Systematic Review					False	False	False
11290923	D016428:Journal Article; D016454:Review					False	False	False
11386124	D004740:English Abstract; D016428:Journal Article; D016454:Review					False	False	False
11414122	D016428:Journal Article; D016454:Review					False	False	False
1141687	D016428:Journal Article; D013487:Research Support, U.S. Gov't, P.H.S.					True	False	False
1142523	D016428:Journal Article					False	False	False
11458191	D002363:Case Reports; D016428:Journal Article					False	False	False
11528847	D016428:Journal Article; D016454:Review					False	False	False
11555891	D016428:Journal Article; D016454:Review					False	False	False
11567728	D016428:Journal Article; D016454:Review					False	False	False
11579511	D004740:English Abstract; D016428:Journal Article; D016454:Review					False	False	False
1169334	D016428:Journal Article					False	False	False
11697867	D016428:Journal Article; D013487:Research Support, U.S. Gov't, P.H.S.; D016454:Review	MH-40733	MH	United States	NIMH NIH HHS	True	False	False
11727817	D016428:Journal Article; D016454:Review					False	False	False
11750160	D016428:Journal Article; D016454:Review					False	False	False
11791665	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
11807021	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't					False	True	False
11861211	D016428:Journal Article; D016454:Review	R01 AI042790	AI	United States	NIAID NIH HHS	True	False	False
11867856	D002363:Case Reports; D016428:Journal Article					False	False	False
11882383	D016428:Journal Article; D016454:Review	1998:44:00	BCN_	United Kingdom	Breast Cancer Now	False	True	False
11897402	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
11898962	D016428:Journal Article; D016454:Review					False	False	False
11929183	D002363:Case Reports; D016428:Journal Article; D016454:Review					False	False	False
11944026	D016428:Journal Article; D013486:Research Support, U.S. Gov't, Non-P.H.S.; D013487:Research Support, U.S. Gov't, P.H.S.; D016454:Review	AI-42059	AI	United States	NIAID NIH HHS	True	False	False
11951140	D016428:Journal Article; D016454:Review					False	False	False
11979130	D016428:Journal Article; D016454:Review					False	False	False
11997228	D016428:Journal Article; D016454:Review					False	False	False
12020460	D016428:Journal Article; D016454:Review					False	False	False
12064039	D016428:Journal Article; D016454:Review					False	False	False
12069880	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
12076397	D016428:Journal Article; D016454:Review; D000078182:Systematic Review					False	False	False
12183535	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't					False	True	False
12201574	D016420:Comment; D016421:Editorial					False	False	False
12205176	D016420:Comment; D016428:Journal Article; D016454:Review					False	False	False
12218901	D016428:Journal Article					False	False	False
12236201	D016431:Guideline; D016428:Journal Article; D017065:Practice Guideline; D016454:Review					False	False	False
12356903	D016428:Journal Article; D016454:Review					False	False	False
12359303	D016428:Journal Article; D016454:Review					False	False	False
12382278	D003160:Comparative Study; D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D013487:Research Support, U.S. Gov't, P.H.S.; D016454:Review	K02 DC00136	DC	United States	NIDCD NIH HHS	True	True	False
12414160	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D013487:Research Support, U.S. Gov't, P.H.S.; D016454:Review	AI48490	AI	United States	NIAID NIH HHS	True	True	False
12418089	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
12430061	D016428:Journal Article					False	False	False
12430572	D016428:Journal Article; D016454:Review					False	False	False
12436838	D023362:Evaluation Study; D016428:Journal Article					False	False	False
12451360	D004740:English Abstract; D016428:Journal Article; D016454:Review					False	False	False
12453222	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't					False	True	False
12471763	D016428:Journal Article; D016454:Review					False	False	False
12489635	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
12560627	D023362:Evaluation Study; D016428:Journal Article					False	False	False
12614461	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D013487:Research Support, U.S. Gov't, P.H.S.	AI 44322	AI	United States	NIAID NIH HHS	True	True	False
12629760	D016428:Journal Article; D016454:Review					False	False	False
12651094	D003160:Comparative Study; D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
12652454	D016428:Journal Article; D016454:Review					False	False	False
12687682	D003160:Comparative Study; D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D013487:Research Support, U.S. Gov't, P.H.S.	DE07309	DE	United States	NIDCR NIH HHS	True	True	False
1270740	D016428:Journal Article					False	False	False
12717450	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D013487:Research Support, U.S. Gov't, P.H.S.					True	True	False
12717608	D016428:Journal Article; D016454:Review					False	False	False
12718049	D016428:Journal Article; D016454:Review					False	False	False
12718050	D016428:Journal Article; D016454:Review					False	False	False
12760172	D016428:Journal Article; D016454:Review					False	False	False
12766702	D016428:Journal Article					False	False	False
12773095	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
12814758	D016428:Journal Article; D016454:Review					False	False	False
12829268	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D013487:Research Support, U.S. Gov't, P.H.S.; D016454:Review	5P42 4940-13		United States	PHS HHS	True	True	False
12841190	D016428:Journal Article					False	False	False
12884295	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't					False	True	False
12891789	D004740:English Abstract; D016428:Journal Article; D016454:Review					False	False	False
12938261	D016428:Journal Article; D016454:Review					False	False	False
12975219	D016420:Comment; D016422:Letter					False	False	False
13032539	D016428:Journal Article					False	False	False
13090831	D016428:Journal Article					False	False	False
13098052	D016428:Journal Article					False	False	False
13222188	D016428:Journal Article					False	False	False
13253970	D016428:Journal Article					False	False	False
13357508	D016428:Journal Article					False	False	False
13385554	D016428:Journal Article					False	False	False
13398879	D016428:Journal Article					False	False	False
13438929	D016428:Journal Article					False	False	False
13484983	D016428:Journal Article					False	False	False
13513367	D016428:Journal Article					False	False	False
13544644	D016428:Journal Article					False	False	False
13673051	D016428:Journal Article					False	False	False
13687033	D016428:Journal Article					False	False	False
13688071	D002363:Case Reports; D016428:Journal Article					False	False	False
13783835	D016428:Journal Article					False	False	False
13817065	D016428:Journal Article					False	False	False
1382018	D016430:Clinical Trial; D016428:Journal Article; D016448:Multicenter Study; D016454:Review					False	False	False
13897078	D016428:Journal Article					False	False	False
1392220	D016428:Journal Article; D016454:Review					False	False	False
13926947	D016428:Journal Article					False	False	False
13996812	D016428:Journal Article					False	False	False
14024941	D016428:Journal Article					False	False	False
14031956	D016428:Journal Article					False	False	False
14061428	D016428:Journal Article					False	False	False
14152956	D016428:Journal Article					False	False	False
14222049	D016428:Journal Article					False	False	False
1432651	D016428:Journal Article; D016454:Review					False	False	False
14518660	D016420:Comment; D016421:Editorial					False	False	False
14534577	D016428:Journal Article; D016454:Review					False	False	False
14564756	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
14564757	D016428:Journal Article; D016454:Review					False	False	False
1457683	D016428:Journal Article; D013487:Research Support, U.S. Gov't, P.H.S.; D016454:Review	DE06027	DE	United States	NIDCR NIH HHS	True	False	False
14583922	D016428:Journal Article; D017418:Meta-Analysis; D016454:Review; D000078182:Systematic Review					False	False	False
14619975	D016428:Journal Article; D016454:Review					False	False	False
14640913	D016421:Editorial; D016454:Review					False	False	False
14652547	D016428:Journal Article					False	False	False
14751044	D016420:Comment; D016422:Letter					False	False	False
14751757	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
14777902	D016428:Journal Article					False	False	False
14782974	D016428:Journal Article					False	False	False
14830711	D016428:Journal Article					False	False	False
14908847	D016428:Journal Article					False	False	False
14923325	D016428:Journal Article					False	False	False
14927899	D016428:Journal Article					False	False	False
14933054	D016428:Journal Article					False	False	False
14977560	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
14980089	D023362:Evaluation Study; D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't					False	True	False
15005437	D016428:Journal Article; D016454:Review					False	False	False
15051628	D016420:Comment; D016428:Journal Article; D016454:Review					False	False	False
15056940	D016428:Journal Article; D016454:Review					False	False	False
15067531	D004740:English Abstract; D016428:Journal Article; D016454:Review					False	False	False
1506849	D016428:Journal Article; D013487:Research Support, U.S. Gov't, P.H.S.	HD 22713	HD	United States	NICHD NIH HHS	True	False	False
15090872	D016428:Journal Article; D016454:Review					False	False	False
15101347	D016433:News					False	False	False
15105382	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D013487:Research Support, U.S. Gov't, P.H.S.	NS20561	NS	United States	NINDS NIH HHS	True	True	False
15147715	D016428:Journal Article; D016454:Review					False	False	False
15153902	D002363:Case Reports; D016428:Journal Article; D016454:Review					False	False	False
15154572	D016456:Historical Article; D016428:Journal Article; D016454:Review					False	False	False
