pmid,query,search_type,page,LastAuthFirstName,LastAuthLastName,FirstAuthLastName,FirstAuthFirstName,gender_last_author,p_last_author_female,p_last_author_male,gender_first_author,p_first_author_female,p_first_author_male,firstauthor_percent_white,firstauthor_percent_black,firstauthor_percent_asian,firstauthor_percent_american_indian_alaskan_native,firstauthor_percent_multi_race,firstauthor_percent_hispanic,lastauthor_percent_white,lastauthor_percent_black,lastauthor_percent_asian,lastauthor_percent_american_indian_alaskan_native,lastauthor_percent_multi_race,lastauthor_percent_hispanic
19297575,Moyamoya,relevance,1,Edward,Smith,Scott,Michael,male,0.01,0.99,male,0.01,0.99,62.6,32.26,0.41,1.15,1.9,1.68,73.35,22.22,0.4,0.85,1.63,1.56
29911252,Moyamoya,relevance,1,Ran,Meng,Shang,Shuling,male,0.42,0.58,female,0.9,0.1,7.63,1.66,88.49,0,1.39,0.83,45.27,0.31,45.37,0.36,1.62,7.06
27960175,Moyamoya,relevance,1,Jong,Kim,Fujimura,Miki,male,0.06,0.94,male,0.25,0.75,6.05,(S),84.08,0,8.92,(S),2.6,0.36,94.52,0.03,1.99,0.5
27549666,Moyamoya,relevance,1,Isao,Date,Hishikawa,Tomohito,male,0.01,0.99,male,0,1,,,,,,,47.44,11.54,33.97,(S),4.97,(S)
28381201,Moyamoya,relevance,1,Mingli,Rao,Huang,Shuo,male,0.48,0.52,male,0.28,0.72,1.03,0.09,96.83,0.02,1.74,0.29,23.01,0.51,72.22,0.18,3.31,0.77
30424960,Moyamoya,relevance,1,Catherine,Amlie-Lefond,Dlamini,Nomazulu,female,0.98,0.02,female,1,0,,,,,,,,,,,,
20924291,Moyamoya,relevance,1,Saif,Siddiqui,Parray,Tariq,male,0.02,0.98,male,0.02,0.98,,,,,,,6.03,0.54,81.42,0.22,10.49,1.3
27386589,Moyamoya,relevance,1,R,Esin,Esin,G,male,0.29,0.71,male,0.26,0.74,,,,,,,,,,,,
33567654,Moyamoya,relevance,1,Yong-Kwang,Tu,Fang,Yao-Ching,,,,,,,3.39,0.49,91.84,0,2.59,1.69,1.83,(S),94.3,(S),2.48,0.85
31066331,Moyamoya,relevance,1,David,Adelson,Appireddy,Ramana,male,0.24,0.76,male,0.15,0.85,,,,,,,88.54,8.62,(S),(S),1.54,0.98
33762446,Moyamoya,relevance,2,Takeshi,Funaki,Funaki,Takeshi,male,0,1,male,0,1,3.87,(S),82.58,0,11.61,(S),3.87,(S),82.58,0,11.61,(S)
