query,search_type,page,is_english_only
AMPK signalling pathway,pubdate_desc,1,1.0
AMPK signalling pathway,pubdate_desc,2,1.0
AMPK signalling pathway,relevance,1,1.0
AMPK signalling pathway,relevance,2,1.0
Acalabrutinib,pubdate_desc,1,1.0
Acalabrutinib,pubdate_desc,2,1.0
Acalabrutinib,relevance,1,1.0
Acalabrutinib,relevance,2,1.0
Addison's disease,pubdate_desc,1,1.0
Addison's disease,pubdate_desc,2,1.0
Addison's disease,relevance,1,0.9
Addison's disease,relevance,2,0.9
Adiposis dolorosa,pubdate_desc,1,1.0
Adiposis dolorosa,pubdate_desc,2,0.9
Adiposis dolorosa,relevance,1,1.0
Adiposis dolorosa,relevance,2,0.8888888888888888
Adrenergic Neurons ,pubdate_desc,1,1.0
Adrenergic Neurons ,pubdate_desc,2,1.0
Adrenergic Neurons ,relevance,1,1.0
Adrenergic Neurons ,relevance,2,1.0
Akt/PKB signalling pathway,pubdate_desc,1,1.0
Akt/PKB signalling pathway,pubdate_desc,2,1.0
Akt/PKB signalling pathway,relevance,1,1.0
Akt/PKB signalling pathway,relevance,2,1.0
Antisynthetase syndrome,pubdate_desc,1,1.0
Antisynthetase syndrome,pubdate_desc,2,1.0
Antisynthetase syndrome,relevance,1,1.0
Antisynthetase syndrome,relevance,2,0.8
Athletic Tape,pubdate_desc,1,1.0
Athletic Tape,pubdate_desc,2,1.0
Athletic Tape,relevance,1,0.8
Athletic Tape,relevance,2,1.0
Autoimmune pancreatitis,pubdate_desc,1,1.0
Autoimmune pancreatitis,pubdate_desc,2,1.0
Autoimmune pancreatitis,relevance,1,0.8
Autoimmune pancreatitis,relevance,2,0.8
Bacillus anthracis,pubdate_desc,1,1.0
Bacillus anthracis,pubdate_desc,2,1.0
Bacillus anthracis,relevance,1,0.9
Bacillus anthracis,relevance,2,0.9
Baclofen,pubdate_desc,1,1.0
Baclofen,pubdate_desc,2,1.0
Baclofen,relevance,1,0.9
Baclofen,relevance,2,0.9
Bartonella henselae,pubdate_desc,1,1.0
Bartonella henselae,pubdate_desc,2,1.0
Bartonella henselae,relevance,1,0.8
Bartonella henselae,relevance,2,0.9
Bickerstaff's encephalitis,pubdate_desc,1,0.9
Bickerstaff's encephalitis,pubdate_desc,2,0.9
Bickerstaff's encephalitis,relevance,1,0.8
Bickerstaff's encephalitis,relevance,2,0.7
Bordetella pertussis,pubdate_desc,1,1.0
Bordetella pertussis,pubdate_desc,2,1.0
Bordetella pertussis,relevance,1,0.9
Bordetella pertussis,relevance,2,0.9
Borrelia burgdorferi,pubdate_desc,1,1.0
Borrelia burgdorferi,pubdate_desc,2,1.0
Borrelia burgdorferi,relevance,1,0.9
Borrelia burgdorferi,relevance,2,1.0
Breast Implants,pubdate_desc,1,0.9
Breast Implants,pubdate_desc,2,0.8888888888888888
Breast Implants,relevance,1,0.8
Breast Implants,relevance,2,1.0
Brucella abortus,pubdate_desc,1,1.0
Brucella abortus,pubdate_desc,2,1.0
Brucella abortus,relevance,1,1.0
Brucella abortus,relevance,2,0.9
CREST syndrome,pubdate_desc,1,1.0
CREST syndrome,pubdate_desc,2,1.0
CREST syndrome,relevance,1,0.6
CREST syndrome,relevance,2,0.8
Cabergoline,pubdate_desc,1,1.0
Cabergoline,pubdate_desc,2,1.0
Cabergoline,relevance,1,1.0
Cabergoline,relevance,2,1.0
Campylobacter jejuni,pubdate_desc,1,1.0
Campylobacter jejuni,pubdate_desc,2,1.0
Campylobacter jejuni,relevance,1,1.0
Campylobacter jejuni,relevance,2,0.8
Cannula,pubdate_desc,1,1.0
Cannula,pubdate_desc,2,1.0
Cannula,relevance,1,1.0
Cannula,relevance,2,1.0
Chest Tubes,pubdate_desc,1,0.9
Chest Tubes,pubdate_desc,2,1.0
Chest Tubes,relevance,1,0.9
Chest Tubes,relevance,2,1.0
Chlamydia pneumoniae,pubdate_desc,1,1.0
Chlamydia pneumoniae,pubdate_desc,2,0.9
Chlamydia pneumoniae,relevance,1,1.0
Chlamydia pneumoniae,relevance,2,0.8
Cholinergic Neurons ,pubdate_desc,1,1.0
Cholinergic Neurons ,pubdate_desc,2,1.0
Cholinergic Neurons ,relevance,1,1.0
Cholinergic Neurons ,relevance,2,0.9
Clostridium botulinum,pubdate_desc,1,0.8333333333333334
Clostridium botulinum,pubdate_desc,2,0.8888888888888888
Clostridium botulinum,relevance,1,1.0
Clostridium botulinum,relevance,2,0.9
Contact Lenses,pubdate_desc,1,1.0
Contact Lenses,pubdate_desc,2,1.0
Contact Lenses,relevance,1,0.8
Contact Lenses,relevance,2,0.9
Corynebacterium diphtheriae,pubdate_desc,1,0.9
