query,search_type,page,country_code
AMPK signalling pathway,pubdate_desc,1,0.7
AMPK signalling pathway,pubdate_desc,2,0.9
AMPK signalling pathway,relevance,1,1.0
AMPK signalling pathway,relevance,2,0.9
Acalabrutinib,pubdate_desc,1,1.0
Acalabrutinib,pubdate_desc,2,0.7
Acalabrutinib,relevance,1,0.8
Acalabrutinib,relevance,2,0.7
Addison's disease,pubdate_desc,1,0.9
Addison's disease,pubdate_desc,2,0.3
Addison's disease,relevance,1,0.5
Addison's disease,relevance,2,0.8
Adiposis dolorosa,pubdate_desc,1,0.7
Adiposis dolorosa,pubdate_desc,2,0.7
Adiposis dolorosa,relevance,1,0.7
Adiposis dolorosa,relevance,2,0.6
Adrenergic Neurons ,pubdate_desc,1,0.5
Adrenergic Neurons ,pubdate_desc,2,0.9
Adrenergic Neurons ,relevance,1,0.7
Adrenergic Neurons ,relevance,2,0.4
Akt/PKB signalling pathway,pubdate_desc,1,0.7
Akt/PKB signalling pathway,pubdate_desc,2,0.8
Akt/PKB signalling pathway,relevance,1,0.7
Akt/PKB signalling pathway,relevance,2,0.5
Antisynthetase syndrome,pubdate_desc,1,0.8
Antisynthetase syndrome,pubdate_desc,2,0.7
Antisynthetase syndrome,relevance,1,0.8
Antisynthetase syndrome,relevance,2,0.4
Athletic Tape,pubdate_desc,1,0.7
Athletic Tape,pubdate_desc,2,0.7
Athletic Tape,relevance,1,0.5
Athletic Tape,relevance,2,0.7
Autoimmune pancreatitis,pubdate_desc,1,0.6
Autoimmune pancreatitis,pubdate_desc,2,0.3
Autoimmune pancreatitis,relevance,1,0.3
Autoimmune pancreatitis,relevance,2,0.4
Bacillus anthracis,pubdate_desc,1,0.6
Bacillus anthracis,pubdate_desc,2,0.5
Bacillus anthracis,relevance,1,0.6
Bacillus anthracis,relevance,2,0.7
Baclofen,pubdate_desc,1,0.7
Baclofen,pubdate_desc,2,0.8
Baclofen,relevance,1,0.9
Baclofen,relevance,2,0.8
Bartonella henselae,pubdate_desc,1,0.6
Bartonella henselae,pubdate_desc,2,0.8
Bartonella henselae,relevance,1,0.4
Bartonella henselae,relevance,2,0.3
Bickerstaff's encephalitis,pubdate_desc,1,0.5
Bickerstaff's encephalitis,pubdate_desc,2,0.5
Bickerstaff's encephalitis,relevance,1,0.4
Bickerstaff's encephalitis,relevance,2,0.5
Bordetella pertussis,pubdate_desc,1,0.8
Bordetella pertussis,pubdate_desc,2,0.7
Bordetella pertussis,relevance,1,0.6
Bordetella pertussis,relevance,2,0.6
Borrelia burgdorferi,pubdate_desc,1,0.7
Borrelia burgdorferi,pubdate_desc,2,0.9
Borrelia burgdorferi,relevance,1,0.5
Borrelia burgdorferi,relevance,2,0.6
Breast Implants,pubdate_desc,1,0.2
Breast Implants,pubdate_desc,2,0.4
Breast Implants,relevance,1,0.7
Breast Implants,relevance,2,0.8
Brucella abortus,pubdate_desc,1,0.2
Brucella abortus,pubdate_desc,2,0.4
Brucella abortus,relevance,1,0.4
Brucella abortus,relevance,2,0.4
CREST syndrome,pubdate_desc,1,0.6
CREST syndrome,pubdate_desc,2,0.4
CREST syndrome,relevance,1,0.5
CREST syndrome,relevance,2,0.6
Cabergoline,pubdate_desc,1,0.6
Cabergoline,pubdate_desc,2,0.4
Cabergoline,relevance,1,0.6
Cabergoline,relevance,2,0.4
Campylobacter jejuni,pubdate_desc,1,0.9
Campylobacter jejuni,pubdate_desc,2,0.4
Campylobacter jejuni,relevance,1,0.9
Campylobacter jejuni,relevance,2,0.7
Cannula,pubdate_desc,1,0.6
Cannula,pubdate_desc,2,0.8
Cannula,relevance,1,0.9
Cannula,relevance,2,0.9
Chest Tubes,pubdate_desc,1,0.7
Chest Tubes,pubdate_desc,2,0.6
Chest Tubes,relevance,1,0.8
Chest Tubes,relevance,2,0.9
Chlamydia pneumoniae,pubdate_desc,1,0.4
Chlamydia pneumoniae,pubdate_desc,2,0.3
Chlamydia pneumoniae,relevance,1,0.9
Chlamydia pneumoniae,relevance,2,0.6
Cholinergic Neurons ,pubdate_desc,1,0.5
Cholinergic Neurons ,pubdate_desc,2,0.8
Cholinergic Neurons ,relevance,1,0.7
Cholinergic Neurons ,relevance,2,0.7
Clostridium botulinum,pubdate_desc,1,0.4
Clostridium botulinum,pubdate_desc,2,0.6
Clostridium botulinum,relevance,1,0.4
Clostridium botulinum,relevance,2,0.6
Contact Lenses,pubdate_desc,1,1.0
Contact Lenses,pubdate_desc,2,1.0
Contact Lenses,relevance,1,0.8
Contact Lenses,relevance,2,0.8
Corynebacterium diphtheriae,pubdate_desc,1,0.4
Corynebacterium diphtheriae,pubdate_desc,2,0.5
Corynebacterium diphtheriae,relevance,1,0.7
Corynebacterium diphtheriae,relevance,2,0.7
Dalfampridine,pubdate_desc,1,0.6
Dalfampridine,pubdate_desc,2,0.6
Dalfampridine,relevance,1,0.8
Dalfampridine,relevance,2,1.0
Dendrites ,pubdate_desc,1,0.9
Dendrites ,pubdate_desc,2,0.6
Dendrites ,relevance,1,0.9
Dendrites ,relevance,2,0.9
Dental Articulators,pubdate_desc,1,0.7
Dental Articulators,pubdate_desc,2,0.7
Dental Articulators,relevance,1,0.5
Dental Articulators,relevance,2,0.7
Dopaminergic Neurons,pubdate_desc,1,0.6
Dopaminergic Neurons,pubdate_desc,2,0.6
Dopaminergic Neurons,relevance,1,0.8
Dopaminergic Neurons,relevance,2,0.7
Drug-Eluting Stents,pubdate_desc,1,0.5
Drug-Eluting Stents,pubdate_desc,2,0.9
Drug-Eluting Stents,relevance,1,0.9
Drug-Eluting Stents,relevance,2,0.6
Edoxaban,pubdate_desc,1,0.9
Edoxaban,pubdate_desc,2,0.7
Edoxaban,relevance,1,0.8
Edoxaban,relevance,2,0.8
Endometriosis,pubdate_desc,1,0.6
Endometriosis,pubdate_desc,2,0.4
Endometriosis,relevance,1,0.8
Endometriosis,relevance,2,0.8
Endoscopes,pubdate_desc,1,0.6
Endoscopes,pubdate_desc,2,0.3
Endoscopes,relevance,1,0.8
Endoscopes,relevance,2,0.6
Enterococcus faecalis,pubdate_desc,1,0.3
Enterococcus faecalis,pubdate_desc,2,0.7
Enterococcus faecalis,relevance,1,0.8
Enterococcus faecalis,relevance,2,0.8
Eph/ephrin signalling pathway,pubdate_desc,1,0.6
Eph/ephrin signalling pathway,pubdate_desc,2,0.8
Eph/ephrin signalling pathway,relevance,1,0.8
Eph/ephrin signalling pathway,relevance,2,0.5
Escherichia coli,pubdate_desc,1,0.7
Escherichia coli,pubdate_desc,2,1.0
Escherichia coli,relevance,1,0.7
Escherichia coli,relevance,2,0.8
Esophageal achalasia,pubdate_desc,1,0.6
Esophageal achalasia,pubdate_desc,2,0.6
Esophageal achalasia,relevance,1,0.7
Esophageal achalasia,relevance,2,0.3
Evans syndrome,pubdate_desc,1,0.5
Evans syndrome,pubdate_desc,2,0.6
Evans syndrome,relevance,1,0.4
Evans syndrome,relevance,2,0.8
Felodipine,pubdate_desc,1,0.6
Felodipine,pubdate_desc,2,0.6
Felodipine,relevance,1,0.4
Felodipine,relevance,2,0.8
Fibromyalgia,pubdate_desc,1,0.5
Fibromyalgia,pubdate_desc,2,0.7
Fibromyalgia,relevance,1,0.6
Fibromyalgia,relevance,2,0.5
Flowmeters,pubdate_desc,1,0.6
Flowmeters,pubdate_desc,2,0.9
Flowmeters,relevance,1,0.6
Flowmeters,relevance,2,0.5
Francisella tularensis,pubdate_desc,1,0.5
Francisella tularensis,pubdate_desc,2,0.6
Francisella tularensis,relevance,1,0.6
Francisella tularensis,relevance,2,0.7
GABAergic Neurons ,pubdate_desc,1,0.7
GABAergic Neurons ,pubdate_desc,2,0.7
GABAergic Neurons ,relevance,1,0.7
